tunnel,leakage_class,leakage_area_m2,leakage_level,source_reference
8,Linear Leakage,4.00,4,CJJ/T 289 leakage class band extracted to FMEA rule base
9,Seepage,0.94,2,CJJ/T 289 leakage class band extracted to FMEA rule base
